Hits,Accuracy
399209.0,99.8022
399223.0,99.8058
399219.0,99.8048
399215.0,99.8038
399221.0,99.8052
399215.0,99.8038
399217.0,99.8043
399218.0,99.8045
399205.0,99.8012
399208.0,99.802
399204.0,99.801
399213.0,99.8032
399221.0,99.8052
399202.0,99.8005
399216.0,99.804
399213.0,99.8032
399220.0,99.805
399207.0,99.8018
399221.0,99.8052
399213.0,99.8032
399225.0,99.8062
399219.0,99.8048
399219.0,99.8048
399198.0,99.7995
399214.0,99.8035
399222.0,99.8055
399217.0,99.8043
399209.0,99.8022
399200.0,99.8
399213.0,99.8032
399219.0,99.8048
399220.0,99.805
399213.0,99.8032
399212.0,99.803
399221.0,99.8052
399223.0,99.8058
399207.0,99.8018
399215.0,99.8038
399216.0,99.804
399206.0,99.8015
399178.0,99.7945
399199.0,99.7998
399208.0,99.802
399207.0,99.8018
399191.0,99.7977
399218.0,99.8045
399212.0,99.803
399214.0,99.8035
399224.0,99.806
399214.0,99.8035
399211.0,99.8027
399223.0,99.8058
399215.0,99.8038
399214.0,99.8035
399212.0,99.803
399217.0,99.8043
399201.0,99.8002
399212.0,99.803
399210.0,99.8025
399225.0,99.8062
399213.0,99.8032
399217.0,99.8043
399202.0,99.8005
399217.0,99.8043
399210.0,99.8025
399217.0,99.8043
399220.0,99.805
399220.0,99.805
399217.0,99.8043
399201.0,99.8002
399219.0,99.8048
399220.0,99.805
399221.0,99.8052
399223.0,99.8058
399213.0,99.8032
399205.0,99.8012
399196.0,99.799
399208.0,99.802
399200.0,99.8
399223.0,99.8058
399199.0,99.7998
399203.0,99.8008
399209.0,99.8022
399218.0,99.8045
399222.0,99.8055
399205.0,99.8012
399221.0,99.8052
399214.0,99.8035
399219.0,99.8048
399207.0,99.8018
399187.0,99.7968
399225.0,99.8062
399210.0,99.8025
399213.0,99.8032
399215.0,99.8038
399187.0,99.7968
399213.0,99.8032
399193.0,99.7982
399221.0,99.8052
399219.0,99.8048
