Hits,Accuracy
350464.0,87.616
350439.0,87.6097
350764.0,87.691
350504.0,87.626
350506.0,87.6265
350754.0,87.6885
350379.0,87.5948
350381.0,87.5953
350680.0,87.67
350660.0,87.665
350607.0,87.6517
350455.0,87.6138
350714.0,87.6785
350514.0,87.6285
350681.0,87.6703
350674.0,87.6685
350792.0,87.698
350805.0,87.7012
350655.0,87.6637
350252.0,87.563
350381.0,87.5953
350416.0,87.604
350794.0,87.6985
350933.0,87.7332
350448.0,87.612
350262.0,87.5655
350767.0,87.6918
350639.0,87.6598
350497.0,87.6242
350379.0,87.5948
350591.0,87.6478
350772.0,87.693
350318.0,87.5795
350745.0,87.6862
350772.0,87.693
350477.0,87.6193
350591.0,87.6478
350741.0,87.6852
350657.0,87.6642
350390.0,87.5975
350692.0,87.673
350518.0,87.6295
350771.0,87.6928
350393.0,87.5982
350543.0,87.6358
350613.0,87.6532
350602.0,87.6505
350449.0,87.6122
350350.0,87.5875
350527.0,87.6318
350322.0,87.5805
350279.0,87.5698
350458.0,87.6145
350363.0,87.5908
350651.0,87.6628
350083.0,87.5208
350644.0,87.661
350447.0,87.6118
350483.0,87.6208
350492.0,87.623
350529.0,87.6322
350961.0,87.7402
350654.0,87.6635
350509.0,87.6272
350556.0,87.639
350715.0,87.6788
350643.0,87.6607
350286.0,87.5715
350553.0,87.6382
350655.0,87.6637
350329.0,87.5822
350582.0,87.6455
350534.0,87.6335
350561.0,87.6402
350419.0,87.6048
350504.0,87.626
350330.0,87.5825
350345.0,87.5862
350560.0,87.64
350658.0,87.6645
350484.0,87.621
350316.0,87.579
350543.0,87.6358
350470.0,87.6175
350426.0,87.6065
350708.0,87.677
350582.0,87.6455
350752.0,87.688
350474.0,87.6185
350841.0,87.7102
350381.0,87.5953
350521.0,87.6302
350426.0,87.6065
350551.0,87.6378
350376.0,87.594
350663.0,87.6658
350675.0,87.6687
350670.0,87.6675
350682.0,87.6705
350874.0,87.7185
