Hits,Accuracy
386347.0,96.5868
386151.0,96.5378
386481.0,96.6202
386026.0,96.5065
386294.0,96.5735
386056.0,96.514
386096.0,96.524
386270.0,96.5675
385951.0,96.4878
386274.0,96.5685
386531.0,96.6328
386226.0,96.5565
385971.0,96.4928
386343.0,96.5858
386284.0,96.571
386287.0,96.5718
386192.0,96.548
386142.0,96.5355
386440.0,96.61
386140.0,96.535
386064.0,96.516
386278.0,96.5695
385938.0,96.4845
385796.0,96.449
386211.0,96.5528
386196.0,96.549
386136.0,96.534
386144.0,96.536
386241.0,96.5602
386408.0,96.602
386309.0,96.5773
386235.0,96.5588
385969.0,96.4922
385885.0,96.4712
386306.0,96.5765
386236.0,96.559
386056.0,96.514
386291.0,96.5728
386330.0,96.5825
386003.0,96.5008
386186.0,96.5465
386195.0,96.5488
385975.0,96.4938
386111.0,96.5278
386368.0,96.592
386490.0,96.6225
386445.0,96.6112
386144.0,96.536
386060.0,96.515
386187.0,96.5468
386199.0,96.5498
386146.0,96.5365
385688.0,96.422
386506.0,96.6265
386034.0,96.5085
386103.0,96.5258
386200.0,96.55
386295.0,96.5738
386228.0,96.557
386000.0,96.5
386208.0,96.552
386448.0,96.612
386192.0,96.548
386196.0,96.549
386271.0,96.5677
386316.0,96.579
386026.0,96.5065
386028.0,96.507
386584.0,96.646
386131.0,96.5328
386063.0,96.5158
385951.0,96.4878
386134.0,96.5335
385770.0,96.4425
386227.0,96.5568
385900.0,96.475
386124.0,96.531
386103.0,96.5258
386196.0,96.549
386252.0,96.563
386228.0,96.557
385719.0,96.4298
386411.0,96.6028
386277.0,96.5692
385903.0,96.4758
386152.0,96.538
386110.0,96.5275
386003.0,96.5008
386129.0,96.5322
386110.0,96.5275
386047.0,96.5117
386302.0,96.5755
386138.0,96.5345
386183.0,96.5458
386172.0,96.543
385798.0,96.4495
386361.0,96.5902
386217.0,96.5542
386119.0,96.5298
386450.0,96.6125
